add-s,8,10000,160000,769984461,4812,0
add-s,8,100000,1600000,9186785601,5741,0
add-s,12,10,240,726456,3026,0
add-s,12,20,480,498960,1039,0
add-s,12,40,960,546842,569,0
add-s,12,80,1920,577863,300,0
add-s,12,100,2400,681364,283,0
add-s,12,1000,24000,255483321,10645,0
add-s,12,10000,240000,2458584828,10244,0
add-s,12,100000,2400000,26453321470,11022,0
add-yield-s,1,10,20,152408,7620,0
add-yield-s,1,20,40,167036,4175,0
add-yield-s,1,40,80,182092,2276,0
add-yield-s,1,80,160,154589,966,0
add-yield-s,1,100,200,200002,1000,0
add-yield-s,1,1000,2000,638617,319,0
add-yield-s,1,10000,20000,4841082,242,0
add-yield-s,1,100000,200000,47466212,237,0
add-yield-s,2,10,40,207317,5182,0
add-yield-s,2,20,80,246933,3086,0
add-yield-s,2,40,160,254278,1589,0
add-yield-s,2,80,320,414323,1294,0
add-yield-s,2,100,400,540694,1351,0
add-yield-s,2,1000,4000,3917181,979,0
add-yield-s,2,10000,40000,39523426,988,0
add-yield-s,2,100000,400000,380800832,952,0
add-yield-s,4,10,80,334558,4181,0
add-yield-s,4,20,160,320140,2000,0
add-yield-s,4,40,320,440476,1376,0
add-yield-s,4,80,640,1941129,3033,0
add-yield-s,4,100,800,3474246,4342,0
add-yield-s,4,1000,8000,29278002,3659,0
add-yield-s,4,10000,80000,320027390,4000,0
add-yield-s,4,100000,800000,2763002628,3453,0
add-yield-s,8,10,160,569905,3561,0
add-yield-s,8,20,320,2168052,6775,0
add-yield-s,8,40,640,4597405,7183,0
add-yield-s,8,80,1280,13590411,10617,0
add-yield-s,8,100,1600,16992381,10620,0
add-yield-s,8,1000,16000,155021103,9688,0
add-yield-s,8,10000,160000,1524999281,9531,0
add-yield-s,8,100000,1600000,17027492611,10642,0
add-yield-s,12,10,240,732459,3051,0
add-yield-s,12,20,480,925739,1928,0
add-yield-s,12,40,960,14186991,14778,0
add-yield-s,12,80,1920,25266838,13159,0
add-yield-s,12,100,2400,45662524,19026,0
add-yield-s,12,1000,24000,433688249,18070,0
add-yield-s,12,10000,240000,4767328425,19863,0
add-yield-s,12,100000,2400000,46201879452,19250,0
add-c,1,10,20,154819,7740,0
add-c,1,20,40,116114,2902,0
add-c,1,40,80,152515,1906,0
add-c,1,80,160,114483,715,0
add-c,1,100,200,117097,585,0
add-c,1,1000,2000,181215,90,0
add-c,1,10000,20000,502345,25,0
add-c,1,100000,200000,3865925,19,0
add-c,2,10,40,256270,6406,0
add-c,2,20,80,193940,2424,0
add-c,2,40,160,226214,1413,0
add-c,2,80,320,236354,738,0
add-c,2,100,400,184545,461,0
add-c,2,1000,4000,487498,121,0
add-c,2,10000,40000,3433333,85,0
add-c,2,100000,400000,31797094,79,0
add-c,4,10,80,341392,4267,0
add-c,4,20,160,247453,1546,0
add-c,4,40,320,350391,1094,0
add-c,4,80,640,352353,550,0
add-c,4,100,800,305800,382,0
add-c,4,1000,8000,1674703,209,0
add-c,4,10000,80000,18873870,235,0
add-c,4,100000,800000,221673478,277,0
add-c,8,10,160,450968,2818,0
add-c,8,20,320,401890,1255,0
add-c,8,40,640,470591,735,0
add-c,8,80,1280,1856584,1450,0
add-c,8,100,1600,551811,344,0
add-c,8,1000,16000,8651131,540,0
